X	Y	nZxy
-1290	5010	-113.135244871911
-1290	5070	-170.972267223977
-1290	510	24.6414315330783
-1290	5130	-228.809289576044
-1290	5190	-286.64631192811
-1290	5250	-344.483334280177
-1290	5310	-402.320356632243
-1290	5370	-400.15737898431
-1290	5430	-457.994401336377
-1290	5490	-455.831423688443
-1290	5550	-513.66844604051
-1290	5610	-511.505468392576
-1290	5670	-509.342490744643
-1290	569.999	86.8043731313844
-1290	570	86.8044091810118
-1290	5730	-567.179513096709
-1290	5790	-565.016535448776
-1290	5850	-562.853557800842
-1290	5910	-560.690580152909
-1290	5970	-618.527602504975
-1290	6030	-616.364624857042
-1290	6090	-614.201647209108
-1290	6150	-612.038669561175
-1290	6210	-609.875691913241
-1290	6270	-547.713714265308
-1290	630	88.9673868289453
-1290	6330	-485.550736617374
-1290	690	91.1303644768786
-1290	750	93.2933421248122
-1290	810	95.4563197727457
-1290	869.999	157.619261371052
-1290	870	157.619297420679
-1290	90	69.500587997544
-1290	90.0002	69.5005952074694
-1290	930	159.782275068613
-1290	990	161.945252716546
-1350	-1050	205.057807290797
-1350	-1110	202.894829642864
-1350	-1170	200.73185199493
-1350	-1230	258.568874346997
-1350	-1290	256.405896699064
-1350	-1350	314.24291905113
-1350	-1410	312.079941403196
-1350	-1470	369.916963755263
-1350	-150	117.5024720098
-1350	-1530	427.75398610733
-1350	-1590	485.591008459396
-1350	-1650	543.428030811463
-1350	-1710	601.265053163529
-1350	-1770	599.102075515596
-1350	-1830	656.939097867662
-1350	-1890	714.776120219729
-1350	-1950	772.613142571795
-1350	-2010	830.450164923862
-1350	-2070	888.287187275928
-1350	-210	175.339494361866
-1350	-2130	946.124209627995
-1350	-2190	1003.96123198006
-1350	-2250	1061.79825433213
-1350	-2310	1119.63527668419
-1350	-2370	1117.47229903626
-1350	-2430	1175.30932138833
-1350	-2490	1233.14634374039
-1350	-270	173.176516713933
-1350	-29.9998	121.828434515592
-1350	-30	121.828427305667
-1350	-330	171.013539065999
-1350	-390	168.850561418066
-1350	-450	166.687583770132
-1350	-510	164.524606122199
-1350	-570	162.361628474265
-1350	-630	160.198650826332
-1350	-690	158.035673178398
-1350	-750	155.872695530465
-1350	-810	153.709717882531
-1350	-869.999	211.546776284225
-1350	-870	211.546740234598
-1350	-89.9998	119.665456867659
